location,text
Abstract:paragraph-6,"When aging overhead distribution lines are renewed by undergrounding, the standard engineering practice is like-for-like replacement: the underground cable replicates the existing overhead route. This study asks whether the renewal event itself is an opportunity to re-optimize the network topology over the asset life cycle. We formulate the renewal problem as a Steiner tree synthesis on the local road graph with per-edge conductor sizing and a discounted loss term, and we define the life-cycle topology profit (LTP) as the net present cost difference between the like-for-like plan and the optimized plan. Using three Japanese municipalities with complementary open-data tiers (pole-ID-linked, geolocated-anchor, and road/building only) as validation environments, we reconstruct the legacy feeder network with an ensemble of two reconstruction families and quantify topology uncertainty by a topology likelihood distance (TLD). Across 238 feeder clusters, life-cycle optimization reduces net present cost by 12.2%, 2.5%, and 11.7% of the like-for-like benchmark in Sano, Kudamatsu, and Yasu respectively; a Monte-Carlo sweep over cost and economic drivers leaves the benefit positive with probability 1.00–0.73. Peak loss is roughly halved. Adding rooftop photovoltaic potential (S3) further reduces net present cost in all clusters. The results indicate that renewal windows are low-regret occasions to correct legacy topology; municipalities should treat undergrounding programs as planning events, not only construction events."
1. Introduction:paragraph-8,1. Introduction
1. Introduction:paragraph-9,"Distribution utilities worldwide are renewing large cohorts of overhead lines, and undergrounding is increasingly adopted for resilience and amenity reasons 1. Renewal programs conventionally reproduce the legacy overhead route underground (like-for-like), because easements, customer drop points, and construction sequencing push planners toward the incumbent layout. Yet the overhead layout was itself the outcome of incremental historical build-out rather than life-cycle optimization. Distribution planning literature has long treated topology as a decision variable at expansion or reconfiguration stages 2, 3, but the renewal window — when construction margins are already committed — is rarely examined as a topology decision point."
1. Introduction:paragraph-10,"This paper contributes a methodological pipeline and a metric, not a case study of a particular municipality. The life-cycle topology profit (LTP) measures the discounted net present cost (NPC) gap between the like-for-like underground plan (scenario S1) and a plan that re-optimizes topology and conductor sizes (S2) on the same road corridor graph. Because the true legacy topology is generally unknown to the analyst, we reconstruct it as an ensemble from public data and carry reconstruction uncertainty into the results explicitly via a topology likelihood distance (TLD) rather than asserting a single ground truth. The optimization core uses a weighted Steiner-tree approximation 4, 5 on the municipal road graph, coupled with classical optimal conductor selection 6 and a linearized loss model 7, 8. Benchmark validation uses pandapower 9. Demand geography derives from OpenStreetMap buildings and roads 10, and a rooftop-PV extension follows distributed-generation planning practice 11. Asset-renewal context follows standard asset-management treatment of deteriorating infrastructure 12."
2. Data and methods:paragraph-11,2. Data and methods
2.1 Study zones and data tiers:paragraph-12,2.1 Study zones and data tiers
2.1 Study zones and data tiers:paragraph-13,"Three municipalities were selected for complementary data tiers rather than representativeness of Japan as a whole. Sano (Tier 1) provides security-light inventories linked to pole identifiers (9519 records, 391 duplicated pole values); Kudamatsu (Tier 2) provides geolocated security-light anchors (4227 records) without pole linkage; Yasu (Tier 3) provides road and building geometry only. Within each municipality a compact study zone (~2.6 km extent) was extracted as the largest connected component of the road graph, and building footprints were assigned estimated peak demand and snapped to the nearest road node. All raw public data, checksums, and acquisition provenance are preserved in a source registry."
2.2 Legacy network reconstruction (S0):paragraph-14,2.2 Legacy network reconstruction (S0)
2.2 Legacy network reconstruction (S0):paragraph-15,"Demand nodes are clustered into LV feeder-scale clusters (approximately 350 kW each). For each cluster, the legacy overhead network is reconstructed by an ensemble of twelve replicates across two families: (A) a Steiner heuristic with jittered terminal geometry and an edge-cost bias toward Tier-1/Tier-2 anchor points; and (B) an incremental cheapest-attachment heuristic with shuffled terminal order. No replicate is claimed to be the true network; the ensemble defines the S1 benchmark distribution."
2.3 Life-cycle cost model:paragraph-16,2.3 Life-cycle cost model
2.3 Life-cycle cost model:paragraph-21,"scaled by load factor to annual energy. In S2 each edge independently selects a conductor size from {150, 250, 400, 600} mm² minimizing its own contribution to NPC, a classical discretized conductor-selection step; topology candidates are generated by weighted Steiner trees in which near-source edges carry an additional loss-priority weight."
2.4 Scenarios and metrics:paragraph-22,2.4 Scenarios and metrics
2.4 Scenarios and metrics:paragraph-23,"S1 (like-for-like): each reconstruction replicate rebuilt underground with the reference 150 mm² conductor. S2 (life-cycle optimized): minimum-NPC topology over the candidate set with per-edge conductor sizing. S3: S2 plus rooftop PV sized from clipped building footprints (30% usable roof, 0.15 kWp/m²) with credited generation bounded by local energy consumption and loss reduction bounded at 50%."
2.4 Scenarios and metrics:paragraph-26,reported also as a percentage of NPC(S1). Topology divergence between a reconstruction replicate and its optimized counterpart is measured by the topology likelihood distance
2.4 Scenarios and metrics:paragraph-28,"over edge sets. P(LTP>0) is reported only as a measure of model and scenario uncertainty, not as a claim about real-network behaviour."
3. Results:paragraph-29,3. Results
3. Results:paragraph-30,"Table 2 summarizes 238 clusters serving 88.7 MW of modeled peak demand. S2 lowers NPC by 1.63 bn JPY (12.2%) in Sano, 0.19 bn JPY (2.5%) in Kudamatsu, and 0.63 bn JPY (11.7%) in Yasu relative to the like-for-like benchmark. Optimized conductor upsizing applies to 22.2, 7.9, and 6.5 km of route respectively. Modeled peak losses fall by 62%, 60%, and 65%. Mean TLD values of 0.09–0.07 show the optimized topology typically reuses most existing corridor edges — the benefit comes from targeted rerouting, not wholesale redesign (Figures 1–2)."
3. Results:paragraph-32,Figure 1. Study zones: road graph (grey) and snapped building demand nodes (blue).
3. Results:paragraph-34,Figure 2. Example feeder cluster: S1 like-for-like replicate vs S2 optimized layout.
3. Results:paragraph-35,"Monte-Carlo sensitivity over discount rate (2–4.5%), electricity price (15–35 JPY/kWh), construction cost (±30%), O&M fraction, load factor, and horizon (30–50 y) yields P(LTP>0) of 1.00, 0.73, and 1.00 for the three zones; the Kudamatsu zone shows a negative 5th percentile, indicating its smaller benefit is not robust to adverse cost draws (Figures 3–4). With rooftop PV (S3; 44.3, 11.3, and 14.3 MWp modeled potential), NPC falls further in every cluster (Figure 5), though the modeled PV economics rely on generous self-consumption assumptions and should be read as an upper bound."
3. Results:paragraph-37,Figure 5. NPC of S2 vs S3 (rooftop-PV extension) by zone.
3. Results:paragraph-39,Figure 3. Life-cycle topology profit by zone (base case vs Monte-Carlo mean).
3. Results:paragraph-41,"Figure 4. One-at-a-time sensitivity (tornado) of LTP, Sano zone."
4. Discussion:paragraph-42,4. Discussion
4. Discussion:paragraph-43,"Three limitations bound interpretation. First, reconstructed topologies are modeled objects; even Tier-1 anchor data do not observe the actual pole-to-pole routing, and results are conditional on the reconstruction ensemble. Second, the LinDistFlow approximation at LV feeder scale produced maximum voltage drops of 29–38% in the reconstructed networks, exceeding practical LV limits — a known artefact of dense clustered demand on radial stubs; the relative NPC comparison is nonetheless consistent because the same electrical model prices both scenarios. Third, municipal security-light anchors are never equated with pole locations; Tier-2 data inform edge biases only. The benchmark network (CIGRE LV) validated the electrical model; a second benchmark (11-bus Iwamoto case) failed to converge in pandapower 3.5.5 and is reported rather than suppressed."
5. Conclusions:paragraph-45,5. Conclusions
5. Conclusions:paragraph-46,"Treating undergrounding renewal as a re-optimization opportunity rather than like-for-like replacement reduces modeled life-cycle cost by roughly 2.5–12% across three data-tiered zones, with the benefit concentrated in trunk rerouting and conductor upsizing. The method transfers to any context where road geometry and coarse demand anchors are available; larger multi-feeder and meshed extensions are future work."
Figure captions (figures supplied as separate files):paragraph-52,Figure 1. Study zones: road graph (grey) and snapped building demand nodes (blue).
Figure captions (figures supplied as separate files):paragraph-53,Figure 2. Example feeder cluster: S1 like-for-like replicate vs S2 optimized layout.
Figure captions (figures supplied as separate files):paragraph-54,Figure 3. Life-cycle topology profit by zone (base case vs Monte-Carlo mean).
Figure captions (figures supplied as separate files):paragraph-55,"Figure 4. One-at-a-time sensitivity (tornado) of LTP, Sano zone."
Figure captions (figures supplied as separate files):paragraph-56,Figure 5. NPC of S2 vs S3 (rooftop-PV extension) by zone.
Table 1. Study zones and data tiers:paragraph-57,Table 1. Study zones and data tiers
Table 2. Scenario results:paragraph-58,Table 2. Scenario results
