source_id,description,source_url,data_identifier_or_version,retrieval_date_utc,retrieval_time_precision,retrieval_conditions,local_path,size_bytes,sha256,license_or_terms,snapshot_status
ENG-TR-002,Chuki 6 kV pole-transformer catalogue,https://www.chuki.jp/wp-content/uploads/2024/03/catalog08_01.pdf,ENG-TR-002,2026-09-24,date; exact time unavailable,public manufacturer PDF snapshot,data/raw/engineering_sources/chuki_6kV_pole_transformer.pdf,1991228,0e33bdd747ab9922af9d9c5ecf72fe933ed885267f6ecb5d58e5198827bcd873,copyright retained by publisher,persisted and checksum-verified
LAW-001-XML,Electricity Business Act Enforcement Regulations XML,https://laws.e-gov.go.jp/api/1/lawdata/407M50000400077,LAW-001-XML,2026-09-24,date; exact time unavailable,e-Gov law API response,data/raw/engineering_sources/egov_electricity_business_act_enforcement_regulations.xml,14370285,cf68512f7e15557e8e4997eb5b19323696a0170b84e02c19c597addad0000d34,Japanese Laws Translation/open government data,persisted and checksum-verified
LAW-001-HTML,Electricity Business Act Enforcement Regulations HTML,https://laws.e-gov.go.jp/law/407M50000400077/20241101_506M60000400073,LAW-001-HTML,2026-09-24,date; exact time unavailable,versioned e-Gov HTML response,data/raw/engineering_sources/egov_electricity_business_act_enforcement_regulations_20241101.html,800,b2e5ede6447907450aadd16d512d97d3ffed4c35dac9e5ba0fa6a9859de8ab55,Japanese Laws Translation/open government data,persisted and checksum-verified
ENG-CABLE-001,Fujikura-Dia 6600 V CV/CVT cable catalogue,https://www.fujikura-dia.co.jp/pdf/catalog/catalog-6600V_CV-EE-CVT-EE.pdf,ENG-CABLE-001,2026-09-24,date; exact time unavailable,public manufacturer PDF snapshot,data/raw/engineering_sources/fujikura_6600V_CV_EE_CVT_EE.pdf,779540,021a0353d2d615a3be088a82bedf1e92780d2137cb68449069a779a45ac9fbe2,copyright retained by publisher,persisted and checksum-verified
ENG-CABLE-002,Kitanihon 6600 V CVT 60 Hz impedance table,https://www.kitaniti-td.co.jp/technical/08/04_08/index08_04_08.html,ENG-CABLE-002,2026-09-24,date; exact time unavailable,complete HTML response snapshot,data/raw/engineering_sources/kitaniti_6600V_CVT_impedance_60Hz.html,39776,a348ed469cf5760e7a5df6aac7d4e1b1eec011cf684eac92f4ed74d3a741f627,website terms; copyright retained,persisted and checksum-verified
BENCH-CIGRE-001,pandapower CIGRE network documentation,https://pandapower.readthedocs.io/en/latest/networks/cigre.html,BENCH-CIGRE-001,2026-09-24,date; exact time unavailable,complete HTML response snapshot,data/raw/engineering_sources/pandapower_CIGRE_network_docs.html,19895,0b705eabbbf26b3d97378641353801627a936b40ca738aab3c40445a4457d0d7,pandapower documentation licence,persisted and checksum-verified
ENG-TR-001,Toshiba 2026 top-runner oil transformer catalogue,https://www.toshiba-tips.co.jp/products/assets/pdf/catalog/trs/CKTB-4000_Sseries_Web_20251024.pdf,ENG-TR-001,2026-09-24,date; exact time unavailable,public manufacturer PDF snapshot,data/raw/engineering_sources/toshiba_2026_transformer_catalog.pdf,5745445,734262e3e469bd60382767ccf0717f5cd35e04c79d654623c1c38512ca1bd127,copyright retained by publisher,persisted and checksum-verified
KUDA-SEC-001,Kudamatsu security-light inventory rows 1-2000,https://yamaguchi-opendata.jp/ckan/dataset/cbc4f005-7812-41f6-8f5a-b9ed044a4f81/resource/91ad1a3d-3790-4bb0-8f60-1d8f061ba9c4/download/352071_security_lights1-2000.csv,KUDA-SEC-001,2026-09-24,date; exact time unavailable,CKAN resource; first published partition,data/raw/kudamatsu/352071_security_lights1-2000.csv,259012,2518de17d1e250a66b3c985b4a39dba6f2bbc8fe448df3f73cd5072fee8a8d68,CC BY,persisted and checksum-verified
KUDA-SEC-002,Kudamatsu security-light inventory rows 2001-4000,https://yamaguchi-opendata.jp/ckan/dataset/cbc4f005-7812-41f6-8f5a-b9ed044a4f81/resource/b58e497f-3db1-4bfc-ac6b-4de6bdfdd874/download/352071_security_lights2001-4000.csv,KUDA-SEC-002,2026-09-24,date; exact time unavailable,CKAN resource; second published partition,data/raw/kudamatsu/352071_security_lights2001-4000.csv,259841,ec2ce0bc30aa5279230ccc896f18f641a5cd572c73ab71a9e4b8e5c31cccb6d0,CC BY,persisted and checksum-verified
KUDA-SEC-003,Kudamatsu security-light inventory rows 4001 onward,https://yamaguchi-opendata.jp/ckan/dataset/cbc4f005-7812-41f6-8f5a-b9ed044a4f81/resource/d94036a3-3071-415c-bfa9-e44d9377eac3/download/352071_security_lights4001.csv,KUDA-SEC-003,2026-09-24,date; exact time unavailable,CKAN resource; final published partition,data/raw/kudamatsu/352071_security_lights4001.csv,29804,dd76ab1b26ff2bcddd11f81349f1903e05243263dd1523cfc6080d99ba04ba58,CC BY,persisted and checksum-verified
OSM-CACHE-07f03dfc,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-07f03dfc,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/07f03dfc1aba50f6a3e6671cedc6c2296aeb6566.json,2832448,eaa4551205fe716ecd06922176ee82e062a8cbbb7d74c32a29c528e93ec1e2c4,ODbL,persisted and checksum-verified
OSM-CACHE-30a2fcfa,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-30a2fcfa,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/30a2fcfaf0e1506125ff64a324e3c11829c2bb04.json,1855246,e4493f9c6f740cbed08a155d6fdf5907c8fdd385c457e42cefa4ce222cea308c,ODbL,persisted and checksum-verified
OSM-CACHE-40cb69ad,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-40cb69ad,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/40cb69addef2feba72d220db8e44603d15dc9f7d.json,44805,92fa70d6080e9f3e3ee5f0db16ee53bd2c9ad6f108859ac4abd8f5c2c184651c,ODbL,persisted and checksum-verified
OSM-CACHE-62711a8a,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-62711a8a,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/62711a8a26fde46c87917730138b64da6e45d165.json,31597,ca09266748ac686d4f1e1871ccfdca56ed4d02558caeb39f4a173dce919f5c47,ODbL,persisted and checksum-verified
OSM-CACHE-6b75401d,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-6b75401d,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/6b75401d6de5167cc808c8c1d2f4be29970c718e.json,5137090,4c82dc59b4a6fc9267bc0030d4c94a956a65f749302109f8a90960dc70f2af3c,ODbL,persisted and checksum-verified
OSM-CACHE-a273fc38,OSMnx cached Overpass response,https://overpass-api.de/api/interpreter,OSM-CACHE-a273fc38,2026-09-24,date; exact time unavailable,complete response cache for one OSMnx query; completeness is subject to the Overpass service response at retrieval,data/raw/osm_cache/a273fc38f0565336681ac1be3c810779599269d2.json,1321591,83f675221d7a1ee3871cb1554eea2ab0899209b16594ada1f60313ade272ceee,ODbL,persisted and checksum-verified
